Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,extracellular matrix organization (GO:0030198),75/300,2.107803312051312e-26,8.091856914964986e-23,0,0,5.376811594202898,317.8855220577708,VIT;COL18A1;SPARC;COL16A1;COL12A1;SERPINE1;TNC;PLOD3;LAMC2;LOXL2;COMP;ADAMTS2;CAPNS1;CTSK;SH3PXD2B;TIMP2;ITGB8;CAPN1;TPSAB1;POSTN;COL27A1;MMP1;MMP2;P3H2;BGN;NPNT;MMP9;MMP12;GREM1;VCAN;COL4A2;LOX;COL4A1;COL6A2;PXDN;ADAM12;COL6A1;COL4A6;PECAM1;COL8A1;COL4A5;COL6A3;ITGA6;CD44;COL17A1;FBN2;COL15A1;COL13A1;COL11A1;LAMA4;PAPLN;LAMA3;KLK5;HTRA1;ADAMTS12;NID1;NID2;THBS1;KLK7;SERPINH1;HAS3;TGFB1;LUM;FN1;LAMB1;COL1A1;COL3A1;COL1A2;BMP1;COL5A1;COL5A3;COL7A1;COL5A2;MFAP2;TGFBI
GO_Biological_Process_2021,extracellular structure organization (GO:0043062),57/216,1.3972088073523847e-21,2.284765559793551e-18,0,0,5.713750323080899,274.3732072751105,VIT;COL18A1;SPARC;COL16A1;SERPINE1;TNC;LAMC2;COMP;ADAMTS2;ITGB8;POSTN;COL27A1;MMP1;MMP2;BGN;NPNT;MMP9;MMP12;VCAN;COL4A2;LOX;COL4A1;COL6A2;PXDN;ADAM12;COL6A1;COL4A6;PECAM1;COL8A1;COL4A5;COL6A3;ITGA6;CD44;COL17A1;FBN2;COL15A1;COL13A1;COL11A1;LAMA4;PAPLN;LAMA3;ADAMTS12;NID1;NID2;THBS1;LUM;FN1;LAMB1;COL1A1;COL3A1;COL1A2;COL5A1;COL5A3;COL7A1;COL5A2;MFAP2;TGFBI
GO_Biological_Process_2021,external encapsulating structure organization (GO:0045229),57/217,1.7854380514146005e-21,2.284765559793551e-18,0,0,5.677734375,271.25162017272123,VIT;COL18A1;SPARC;COL16A1;SERPINE1;TNC;LAMC2;COMP;ADAMTS2;ITGB8;POSTN;COL27A1;MMP1;MMP2;BGN;NPNT;MMP9;MMP12;VCAN;COL4A2;LOX;COL4A1;COL6A2;PXDN;ADAM12;COL6A1;COL4A6;PECAM1;COL8A1;COL4A5;COL6A3;ITGA6;CD44;COL17A1;FBN2;COL15A1;COL13A1;COL11A1;LAMA4;PAPLN;LAMA3;ADAMTS12;NID1;NID2;THBS1;LUM;FN1;LAMB1;COL1A1;COL3A1;COL1A2;COL5A1;COL5A3;COL7A1;COL5A2;MFAP2;TGFBI
GO_Biological_Process_2021,collagen fibril organization (GO:0030199),36/89,5.830208980192713e-21,5.595543068739956e-18,0,0,10.695399654061603,498.3118691556145,COL17A1;COL18A1;COL15A1;COL16A1;COL13A1;COL11A1;COL12A1;LAMA3;PLOD3;LAMC2;LOXL2;ADAMTS2;SERPINH1;COL27A1;LUM;P3H2;GREM1;COL1A1;COL3A1;BMP1;COL1A2;COL4A2;LOX;COL5A1;COL4A1;COL6A2;COL5A3;COL7A1;COL6A1;PXDN;COL5A2;COL4A6;COL4A5;COL6A3;COL8A1;ITGA6
GO_Biological_Process_2021,skin development (GO:0043588),26/80,7.025166540884578e-13,5.393922870091179e-10,0,0,7.517777159978995,210.3782826053344,CLIC4;SPRR2G;ALOX12B;ABCA12;EVPL;SCEL;ALOXE3;TP63;ANXA1;CDSN;AKR1C3;KRT10;ASPRV1;COL1A1;FLG2;FA2H;CLDN4;COL3A1;COL1A2;COL5A1;KRT16;COL5A3;COL5A2;ITGA6;MET;S100A7
GO_Biological_Process_2021,supramolecular fiber organization (GO:0097435),59/351,1.270895590845111e-12,8.131613622090636e-10,0,0,3.2028977419582225,87.73153059510345,COL18A1;COL16A1;COL12A1;PLOD3;UBE2L6;LAMC2;PPP1R9A;LOXL2;ADAMTS2;NEFL;CHP1;CD36;COL27A1;TMOD3;P3H2;SHROOM3;RHOF;RHOD;GREM1;COL4A2;LOX;COL4A1;COL6A2;PXDN;COL6A1;COL4A6;COL8A1;COL4A5;COL6A3;ITGA6;LTF;COL17A1;COL15A1;COL13A1;COL11A1;LAMA3;LTBP2;CAMSAP2;SERPINH1;SNCA;ODAM;LUM;MYO5A;LYZ;SNCAIP;COL1A1;COL3A1;MYO1B;COL1A2;BMP1;COL5A1;MYO5B;COL5A3;COL7A1;MYO5C;COL5A2;FAT1;EPPK1;TGFBI
GO_Biological_Process_2021,epidermis development (GO:0008544),25/83,1.3023774517493128e-11,7.1426100532365894e-09,0,0,6.723060344827586,168.50842907552308,COL17A1;SPRR2G;CALML5;BNC1;LAMA3;KLK5;LAMC2;ATP2C1;EVPL;KLK7;PTHLH;SCEL;KRTDAP;CDSN;KRT2;EMP1;KLK14;FOXN1;EDAR;LCE2B;FLG2;FABP5;COL7A1;KRT14;S100A7
GO_Biological_Process_2021,endoderm formation (GO:0001706),14/36,1.0317110936770433e-08,4.95092361078271e-06,0,0,9.85444035733053,181.2178571138008,DUSP5;COL11A1;MMP2;COL12A1;LAMA3;FN1;HMGA2;LAMB1;INHBA;MMP9;COL4A2;COL7A1;COL6A1;COL8A1
GO_Biological_Process_2021,endodermal cell differentiation (GO:0035987),13/32,1.8622404461017656e-08,7.943490080649643e-06,0,0,10.58832725377801,188.460582618142,COL11A1;MMP2;COL12A1;LAMA3;FN1;HMGA2;LAMB1;INHBA;MMP9;COL4A2;COL7A1;COL6A1;COL8A1
GO_Biological_Process_2021,inflammatory response (GO:0006954),37/230,6.505927253261996e-08,2.49762547252728e-05,0,0,2.9986130737426078,49.62095048227067,PTGFR;IL1RN;CEBPB;TNFAIP6;GPR68;PTGER3;FPR3;THBS1;LTB4R;IL36A;CCL8;HYAL1;BLNK;CCL2;IL36RN;AFAP1L2;ANXA1;TGFB1;ODAM;F2R;IL18;IL36G;LYZ;SELE;IL1A;TPST1;CXCL10;MFHAS1;ITCH;BMP2;VNN1;ELF3;KRT16;NOX4;CARD18;CD44;MGLL
GO_Biological_Process_2021,regulation of blood coagulation (GO:0030193),11/27,2.2808707192765777e-07,7.960238810275256e-05,0,0,10.623404036243825,162.469437423334,THBD;SERPINE2;FAP;CAV1;SERPINE1;F2R;ST3GAL4;F2RL1;ENPP4;HPSE;THBS1
GO_Biological_Process_2021,positive regulation of macromolecule metabolic process (GO:0010604),50/384,3.7486450031362404e-07,0.00011310910946899447,0,0,2.3494712702255063,34.764424384114534,CLU;EPB41L4B;GJA1;IL36A;CDH3;LAMP3;DNMT3B;ITGB8;SOX9;CD36;NKX3-1;OSR2;DDX58;POU3F1;TICAM1;PRKAB1;F3;GREM1;AR;SFRP4;IL1A;MYCN;PKP1;CD46;TLR3;ALOX12B;CAMK2N1;CLEC7A;AGR2;PPARGC1A;SNCA;NTRK2;TGFB1;ODAM;EPHX2;NTRK3;FN1;IL36G;HMGA2;MSN;INHBA;SELE;P2RX7;AFDN;OCLN;ITCH;BMP2;ID2;PIP;SLC26A9
GO_Biological_Process_2021,cell-cell junction organization (GO:0045216),19/82,3.830212094547873e-07,0.00011310910946899447,0,0,4.6793545500013165,69.13828457259096,NLGN4X;TGFB1;TGFB3;F2R;GJC1;TJP1;AFDN;PARD6B;OCLN;CDH3;CDH11;FSCN1;PKP2;DSG1;PKP1;F2RL1;NECTIN2;TJP3;CD177
GO_Biological_Process_2021,establishment of skin barrier (GO:0061436),9/19,6.217087103555985e-07,0.00015911598260367617,0,0,13.888569078947368,198.4786819567403,FA2H;FLG2;CLDN4;KRT16;ALOX12B;ABCA12;ALOXE3;MET;TP63
GO_Biological_Process_2021,regulation of water loss via skin (GO:0033561),9/19,6.217087103555985e-07,0.00015911598260367617,0,0,13.888569078947368,198.4786819567403,FA2H;FLG2;CLDN4;KRT16;ALOX12B;ABCA12;ALOXE3;MET;TP63
